CPI Average Prices 2020,,,
,,Jan-20,
212515,fresh veg-tomatoes per kg,2.26,
212516,fresh veg-cabbage state each or per kg,0.78,
212518,fresh veg-carrots per kg,0.73,
212519,fresh veg-onions per kg,0.89,
212520,fresh veg-mushrooms per kg,3.03,
212527,pre-packed salad 100-250g (specify type),1.41,
212530,fresh veg-broccoli-per kg,1.75,
212531,fresh veg-courgette-per kg,2.27,
212532,fresh veg-peppers - state loose or per kg,0.67,
212533,vegetable stir fry fresh pack 300-500g,1.13,
212535,Sweet Potato,1.28,
212601,CANNED TOMATOES 390-400G,0.46,
212603,"Baked Beans, 400-420g tin",0.56,
212608,canned sweetcorn (198-340g),0.75,
212609,frozen garden peas 800g-1kg,1.50,
212709,Oranges-class 1-each,0.39,
212710,Avocado pear-each,0.96,
212712,Kiwi Fruit-each,0.27,
212715,Grapefruit-each,0.56,
212716,apples-cooking per kg,1.84,
212717,apples-dessert per kg,2.04,
212718,pears-dessert per kg,1.99,
212719,bananas per kg,0.93,
212720,strawberries (state per kg or per punnet),7.93,
212722,grapes per kg,3.98,
212725,small type oranges per pack/kg,2.38,
212726,Plums - state per pack/Kg (see Help screen),2.69,
212728,pineapple each,1.09,
212730,"Fruit, fresh, snacking, 150-350g",1.59,
212731,"Melon, each, eg Honeydew",1.84,
212732,"Lemon, each",0.35,
212733,"Blueberries, punnet",10.24,
212734,"Raspberries, punnet",13.02,
212806,packet of peanuts 100-200g (roasted/salted),1.23,
212807,Canned Fruit-400-450g-specify type,0.96,
212808,dried fruit 100 - 250g pack eg appricots,1.90,
212905,vegetable pickle 280 - 560g eg branston,1.41,
212910,Canned Soup-390-425g,0.76,
212917,"Tomato Ketchup, bottle, 340 - 500g / 290 - 460mls",1.52,
212918,Frozen ready-cooked meal-to serve one,1.67,
212923,Cook-in sauce-jar/can 350-520g (eg bolognese),1.37,
212928,"frozen vegetarian burger/grills, pack, 200 - 454g",1.61,
212930,mayonnaise 400g-500g,1.68,
212933,ice cream specify flavour (500ml-1 litre),2.74,
212934,dried potted snack eg noodles/pasta (50-120g),0.87,
212936,chilled ready meal-meat based-serves 1-specify wgt,2.58,
212937,chilled ready meal-fish/veg based-serves1-spec wgt,2.53,
212938,Chocolate covered ice cream bar 80-130ml eg Magnum,0.55,
212939,"Chilled Pizza,each, 300-600g",3.07,
212941,Quiche,2.29,
213001,Coffee: ground: filter fine (227-250g),3.06,
213003,Coffee-Instant-100g jar,3.05,
213005,hot chocolate drink instant 250-400g,2.34,
213006,"Coffee pods, pack 8-16",3.68,
220327,Takeaway Cooked Pastry Based Savoury Snack,1.14,
