CPI Average Prices 2019,,
,,Oct-19
212017,fizzy bottled drink 500ml,1.44
212019,Pure Fruit Smoothie 750mls - 1 litre,2.07
212020,fruit drink bottle 4-8 pack 200-350ml,1.64
212021,bottle still mineral water 500ml,0.51
212022,"Mixer drink, bottle, 1 Lt eg tonic",0.90
212023,"Cola flavoured/other fizzy drink, 330ml, pack 4-8",3.10
212024,Flavoured water bott 900ML - 1.5LT,0.69
212025,"Cola Drink, reg, Bottle, 1.25-2L",1.81
212026,"Cola Drink, Diet 1.25-2L",1.62
212101,Sugar -Granulated-white-per kg,0.76
212106,Jar of jam-340-454g-specify flavour,1.00
212107,"Honey, jar/bottle, 340g",2.24
212202,Mints,0.70
212211,Chocolate 4,0.74
212214,Fruit Pastilles 2,0.71
212217,Chewing Gum/Bubble Gum-single pack.,0.57
212218,carton/box of chocolates 350g - 500g,3.89
212222,Chocolate 10,0.73
212223,bag of sweets - branded chocolate,1.35
212224,bag of sweets - not chocolate,1.04
212225,"Chocolate, large bar, 100-200g",1.35
212226,Chocolate 12,0.60
212227,Chocolate 13,0.61
212309,"potatoes, New, loose or pre-packed, per Kg",1.32
212310,potatoes- old white- state loose/pre-pack (per kg),0.72
212311,potatoes- baking- state loose/pre-pack (per kg),0.88
212402,Potato Crisps-25g/40g,0.72
212404,Potato Crisps-multi-pack,1.31
212405,frozen chips 900g-1kg,1.79
212408,premium potato crisps eg kettle chips (150-200g),1.41
212409,"Prepared Mashed Potato, chilled",1.21
212504,Fresh Veg-Cauliflower-each,0.95
212510,Fresh Veg-Cucumber-whole,0.63
212511,Fresh Veg-Lettuce-Iceberg-each,0.70
212515,fresh veg-tomatoes per kg,2.06
212516,fresh veg-cabbage state each or per kg,0.82
212518,fresh veg-carrots per kg,0.63
212519,fresh veg-onions per kg,0.82
212520,fresh veg-mushrooms per kg,2.90
212527,pre-packed salad 100-250g (specify type),1.46
212530,fresh veg-broccoli-per kg,1.92
212531,fresh veg-courgette-per kg,2.20
212532,fresh veg-peppers - state loose or per kg,0.62
212533,vegetable stir fry fresh pack 300-500g,1.14
212535,Sweet Potato,1.32
212601,CANNED TOMATOES 390-400G,0.49
212603,"Baked Beans, 400-420g tin",0.63
212608,canned sweetcorn (198-340g),0.75
212609,frozen garden peas 800g-1kg,1.44
212709,Oranges-class 1-each,0.37
212710,Avocado pear-each,1.08
212712,Kiwi Fruit-each,0.26
212715,Grapefruit-each,0.56
212716,apples-cooking per kg,1.82
212717,apples-dessert per kg,1.82
212718,pears-dessert per kg,1.81
212719,bananas per kg,0.99
212720,strawberries (state per kg or per punnet),7.12
212722,grapes per kg,3.85
212725,small type oranges per pack/kg,2.21
212726,Plums - state per pack/Kg (see Help screen),2.05
212728,pineapple each,1.13
212730,"Fruit, fresh, snacking, 150-350g",1.60
212731,"Melon, each, eg Honeydew",1.92
212732,"Lemon, each",0.33
212733,"Blueberries, punnet",12.33
212734,"Raspberries, punnet",10.89
212806,packet of peanuts 100-200g (roasted/salted),1.21
212807,Canned Fruit-400-450g-specify type,0.96
212808,dried fruit 100 - 250g pack eg appricots,1.94
212905,vegetable pickle 280 - 560g eg branston,1.30
212910,Canned Soup-390-425g,0.77
212917,"Tomato Ketchup, bottle, 340 - 500g / 290 - 460mls",1.52
212918,Frozen ready-cooked meal-to serve one,1.71
212923,Cook-in sauce-jar/can 350-520g (eg bolognese),1.43
212928,"frozen vegetarian burger/grills, pack, 200 - 454g",1.69
212930,mayonnaise 400g-500g,1.59
212933,ice cream specify flavour (500ml-1 litre),2.37
212934,dried potted snack eg noodles/pasta (50-120g),1.13
212936,chilled ready meal-meat based-serves 1-specify wgt,2.57
212937,chilled ready meal-fish/veg based-serves1-spec wgt,2.57
212938,Chocolate covered ice cream bar 80-130ml eg Magnum,0.61
212939,"Chilled Pizza,each, 300-600g",3.11
212941,Quiche,2.29
213001,Coffee: ground: filter fine (227-250g),3.08
213003,Coffee-Instant-100g jar,2.95
213005,hot chocolate drink instant 250-400g,2.34
213006,"Coffee pods, pack 8-16",3.61
220327,Takeaway Cooked Pastry Based Savoury Snack,1.18
