unitid,year,fips,race,sex,completers
108348,2015,6,8,1,0
108348,2015,6,8,99,0
108348,2015,6,8,2,0
108348,2015,6,99,1,12
108348,2015,6,99,99,21
108348,2015,6,99,2,9
108348,2015,6,9,1,0
108348,2015,6,9,99,0
108348,2015,6,9,2,0
108348,2015,6,1,1,4
108348,2015,6,1,99,6
108348,2015,6,1,2,2
108649,2014,6,7,1,0
108649,2014,6,7,99,7
108649,2014,6,7,2,7
108649,2014,6,5,1,1
108649,2014,6,5,99,2
108649,2014,6,5,2,1
108649,2014,6,4,1,0
108649,2014,6,4,99,7
108649,2014,6,4,2,7
108649,2014,6,2,1,2
108649,2014,6,2,99,48
108649,2014,6,2,2,46
108649,2014,6,3,1,1
108649,2014,6,3,99,24
108649,2014,6,3,2,23
108649,2014,6,6,1,0
108649,2014,6,6,99,0
108649,2014,6,6,2,0
108649,2014,6,8,1,0
108649,2014,6,8,99,0
108649,2014,6,8,2,0
108649,2014,6,99,1,5
108649,2014,6,99,99,103
108649,2014,6,99,2,98
108649,2014,6,9,1,0
108649,2014,6,9,99,5
108649,2014,6,9,2,5
108649,2014,6,1,1,1
108649,2014,6,1,99,10
108649,2014,6,1,2,9
108649,2015,6,7,1,0
108649,2015,6,7,99,3
108649,2015,6,7,2,3
108649,2015,6,5,1,0
108649,2015,6,5,99,0
108649,2015,6,5,2,0
108649,2015,6,4,1,0
108649,2015,6,4,99,10
108649,2015,6,4,2,10
108649,2015,6,2,1,0
108649,2015,6,2,99,32
108649,2015,6,2,2,32
108649,2015,6,3,1,1
108649,2015,6,3,99,16
108649,2015,6,3,2,15
108649,2015,6,6,1,0
108649,2015,6,6,99,0
108649,2015,6,6,2,0
108649,2015,6,8,1,0
108649,2015,6,8,99,0
108649,2015,6,8,2,0
108649,2015,6,99,1,1
108649,2015,6,99,99,83
108649,2015,6,99,2,82
108649,2015,6,9,1,0
108649,2015,6,9,99,6
108649,2015,6,9,2,6
108649,2015,6,1,1,0
108649,2015,6,1,99,16
108649,2015,6,1,2,16
108667,2014,6,7,1,4
108667,2014,6,7,99,13
108667,2014,6,7,2,9
108667,2014,6,5,1,2
108667,2014,6,5,99,2
108667,2014,6,5,2,0
108667,2014,6,4,1,67
108667,2014,6,4,99,144
108667,2014,6,4,2,77
108667,2014,6,2,1,20
108667,2014,6,2,99,51
108667,2014,6,2,2,31
108667,2014,6,3,1,42
108667,2014,6,3,99,66
108667,2014,6,3,2,24
108667,2014,6,6,1,2
108667,2014,6,6,99,3
108667,2014,6,6,2,1
108667,2014,6,8,1,5
108667,2014,6,8,99,9
108667,2014,6,8,2,4
108667,2014,6,99,1,177
108667,2014,6,99,99,366
108667,2014,6,99,2,189
108667,2014,6,9,1,15
108667,2014,6,9,99,35
108667,2014,6,9,2,20
108667,2014,6,1,1,20
108667,2014,6,1,99,43
108667,2014,6,1,2,23
108667,2015,6,7,1,9
108667,2015,6,7,99,13
108667,2015,6,7,2,4
108667,2015,6,5,1,0
108667,2015,6,5,99,0
108667,2015,6,5,2,0
108667,2015,6,4,1,57
108667,2015,6,4,99,131
108667,2015,6,4,2,74
108667,2015,6,2,1,15
108667,2015,6,2,99,50
108667,2015,6,2,2,35
108667,2015,6,3,1,22
108667,2015,6,3,99,51
108667,2015,6,3,2,29
