seq,time,lat,lng,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
113,2020-11-14T14:29:19.724Z,-20.4175,-69.1073,93.02,5.1,mb,,66,0.278,0.93,us,us7000ceym,2020-11-15T01:17:07.040Z,"111 km ESE of Iquique, Chile",earthquake,6.6,6.2,0.087,43,reviewed,us,us
114,2020-11-14T22:57:27.345Z,26.5151,126.7863,108.67,5,mb,,39,1.367,1.18,us,us7000cf3i,2020-11-15T02:14:14.413Z,"95 km WNW of Naha, Japan",earthquake,5.4,6.2,0.045,153,reviewed,us,us
115,2020-11-15T06:35:17.317Z,11.8158,124.3091,37.32,5.1,mww,,56,9.838,1.04,us,us7000cf7b,2020-11-16T14:29:22.360Z,"19 km SW of Santo Niño, Philippines",earthquake,9.4,4.6,0.075,17,reviewed,us,us
116,2020-11-15T12:33:15.710Z,-24.1365,-67.6093,145.87,5.3,mww,,31,1.289,1.24,us,us7000cfa7,2020-11-16T14:58:10.040Z,"131 km W of San Antonio de los Cobres, Argentina",earthquake,8.2,4.4,0.05,39,reviewed,us,us
117,2020-11-15T22:37:43.629Z,8.7489,126.2813,43,6,mww,,33,1.807,0.99,us,us7000cfes,2020-11-17T23:02:03.888Z,"6 km SSW of Marihatag, Philippines",earthquake,7.5,1.9,0.04,60,reviewed,us,us
118,2020-11-16T13:42:16.901Z,-10.9304,164.423,10,5.1,mb,,85,4.648,0.61,us,us7000cfn9,2020-11-16T14:33:58.040Z,"151 km W of Lata, Solomon Islands",earthquake,10.2,1.8,0.058,97,reviewed,us,us
119,2020-11-16T15:08:13.140Z,27.6372,129.9391,10,5,mb,,82,1.684,0.8,us,us7000cfnl,2020-11-18T01:15:13.630Z,"92 km SSE of Naze, Japan",earthquake,5.9,1.9,0.051,124,reviewed,us,us
120,2020-11-16T20:18:34.076Z,-28.4228,-71.0898,44.1,5,mb,,115,0.217,0.7,us,us7000cftt,2020-11-17T01:05:21.298Z,"36 km WNW of Vallenar, Chile",earthquake,4.6,3.2,0.039,207,reviewed,us,us
121,2020-11-16T22:45:26.276Z,-7.0281,155.7391,67.2,5.5,mww,,24,4.539,0.93,us,us7000cfwd,2020-11-17T22:48:53.462Z,"83 km SSE of Panguna, Papua New Guinea",earthquake,8.1,4.8,0.078,16,reviewed,us,us
122,2020-11-17T01:44:09.943Z,-2.6771,99.3039,10,5.9,mww,,23,3.451,0.93,us,us7000cfxq,2020-11-18T01:47:13.978Z,"223 km SSW of Padang, Indonesia",earthquake,7.5,1.7,0.05,39,reviewed,us,us
123,2020-11-17T22:22:07.638Z,-14.9364,167.773,10,5.1,mb,,124,0.748,0.88,us,us6000cpmt,2020-11-17T22:40:50.040Z,"76 km E of Port-Olry, Vanuatu",earthquake,8,1.9,0.061,87,reviewed,us,us
124,2020-11-18T04:42:00.711Z,-1.8076,100.4305,53.47,5.3,mww,,43,2.205,0.88,us,us6000cpq3,2020-11-18T16:10:28.705Z,"95 km S of Padang, Indonesia",earthquake,7.8,6.3,0.093,11,reviewed,us,us
