city_ascii,lat,lng,population,ranking,state_id,rnk
Pittsburgh,40.4396,-79.9762,1703.266,1,PA,2
Allentown,40.5961,-75.4756,683.794,2,PA,1
San Juan,18.4037,-66.0636,331.165,2,PR,3
Bayamon,18.3793,-66.1635,165.383,2,PR,2
Carolina,18.4054,-65.9792,140.072,2,PR,1
Providence,41.823,-71.4187,1203.23,1,RI,3
Cranston,41.7658,-71.4857,81.456,3,RI,2
Warwick,41.7062,-71.4334,81.004,3,RI,1
Charleston,32.8153,-79.9628,628.377,2,SC,3
Columbia,34.0376,-80.9037,560.041,2,SC,2
Greenville,34.8353,-82.3647,484.465,2,SC,1
Sioux Falls,43.5397,-96.732,187.239,2,SD,3
Rapid City,44.0716,-103.2204,92.664,3,SD,2
Aberdeen,45.4646,-98.468,28.134,3,SD,1
Nashville,36.1715,-86.7843,1081.903,1,TN,3
Memphis,35.1046,-89.9773,1066.967,1,TN,2
Knoxville,35.9692,-83.9496,586.048,2,TN,1
Dallas,32.7936,-96.7662,5743.938,1,TX,3
Houston,29.7863,-95.3889,5464.251,1,TX,2
San Antonio,29.4658,-98.5253,2049.293,1,TX,1
Salt Lake City,40.7777,-111.9306,1098.526,1,UT,3
Ogden,41.2278,-111.9682,578.523,2,UT,2
Provo,40.2457,-111.6457,500.617,2,UT,1
Virginia Beach,36.7335,-76.0435,1478.868,1,VA,3
Richmond,37.5295,-77.4756,1075.798,1,VA,2
Chesapeake,36.6778,-76.3024,244.835,2,VA,1
Burlington,44.4877,-73.2314,109.763,2,VT,3
Barre,44.1997,-72.5083,20.421,3,VT,2
South Burlington,44.4622,-73.2203,19.509,3,VT,1
Seattle,47.6211,-122.3244,3789.215,1,WA,3
Spokane,47.6671,-117.433,412.275,2,WA,2
Kennewick,46.1978,-119.1732,240.735,2,WA,1
Milwaukee,43.0642,-87.9673,1365.787,1,WI,3
Madison,43.0826,-89.3931,447.245,2,WI,2
Appleton,44.2779,-88.3891,220.57,2,WI,1
Huntington,38.4109,-82.4344,186.034,2,WV,3
Charleston,38.3484,-81.6323,138.706,2,WV,2
Wheeling,40.0752,-80.6951,75.392,3,WV,1
Cheyenne,41.1351,-104.79,79.484,2,WY,3
Casper,42.842,-106.3207,67.598,3,WY,2
Gillette,44.2752,-105.4983,36.032,3,WY,1
